isolateID,INH_pDST,PZA,EMB,ETH,KAN,FQ
ITM2009-00815,no data,S,R,S,S,S
ITM2009-00820,no data,S,S,S,S,S
ITM2009-01137,low,S,S,S,S,S
ITM2009-01140,no data,S,R,S,S,S
ITM2009-01727,no data,S,R,S,S,S
ITM2009-01739,no data,S,R,S,S,S
ITM2009-01967,no data,S,S,S,S,S
ITM2009-01969,no data,S,R,S,S,S
ITM2009-01970,no data,S,S,S,S,S
ITM2009-01987,no data,S,R,S,S,S
ITM2009-01995,no data,R,R,S,S,S
ITM2009-02325,no data,S,S,R,S,S
ITM2009-02330,no data,S,S,S,S,S
ITM2009-02334,no data,R,R,R,S,S
ITM2009-02336,no data,R,R,R,S,S
ITM2009-02340,no data,S,S,S,S,S
ITM2009-02346,no data,R,R,S,S,S
ITM2009-02361,no data,S,R,S,S,high
ITM2009-02618,no data,S,S,S,S,S
ITM2009-03234,no data,S,R,S,S,S
ITM2009-03251,no data,R,R,S,S,S
ITM2009-03254,no data,S,R,S,S,S
ITM2009-03255,no data,R,R,S,S,S
ITM2009-03258,no data,R,R,R,S,S
ITM2009-03262,no data,S,S,R,S,S
ITM2009-03761,no data,S,R,S,S,S
ITM2009-03763,no data,R,R,S,S,S
ITM2009-03773,no data,R,R,S,S,S
ITM2009-03770,no data,S,R,S,S,S
ITM2010-00227,no data,R,R,R,S,S
ITM2010-00228,no data,S,S,S,S,S
ITM2010-00234,no data,S,R,S,S,S
ITM2010-00875,no data,S,R,S,S,S
ITM2010-00887,no data,S,R,S,S,S
ITM2010-00888,no data,R,R,S,S,S
ITM2010-00906,no data,S,R,S,S,S
ITM2010-01117,no data,S,R,R,S,S
ITM2010-01122,no data,S,S,R,S,S
ITM2010-01138,no data,S,S,R,S,S
ITM2010-01654,no data,S,S,R,S,S
ITM2010-01658,no data,S,R,R,S,S
ITM2010-01884,no data,S,S,R,S,S
ITM2010-01897,no data,S,S,S,S,S
ITM2010-01901,no data,S,R,S,S,S
ITM2010-01921,no data,S,R,S,S,S
ITM2010-01936,no data,R,S,S,S,S
ITM2010-02131,no data,S,R,S,S,S
ITM2010-02385,no data,S,R,S,S,S
ITM2010-02400,no data,R,R,S,S,S
ITM2010-02404,low,R,R,S,S,S
ITM2010-02405,no data,R,R,S,S,S
ITM2010-02407,no data,S,R,S,S,S
ITM2010-02607,no data,R,S,S,S,S
ITM2010-02609,no data,R,S,R,S,S
ITM2010-02612,no data,S,S,S,S,S
ITM2010-02614,no data,S,S,S,S,S
ITM2010-02615,no data,S,S,S,S,S
ITM2010-02618,no data,S,R,R,S,S
ITM2010-02763,no data,S,S,R,S,S
ITM2011-00068,no data,S,R,S,S,S
ITM2011-00076,no data,R,R,S,S,S
ITM2011-00099,no data,S,R,S,S,S
ITM2011-00122,no data,S,S,S,S,S
ITM2011-00127,no data,S,R,S,S,S
ITM2011-00156,no data,R,R,S,S,S
ITM2011-00528,no data,S,R,S,S,S
ITM2011-00534,no data,S,S,S,S,S
ITM2011-00540,no data,R,S,S,S,S
ITM2011-00543,no data,S,R,S,S,S
ITM2011-00554,no data,S,S,S,S,S
ITM2011-00569,no data,S,R,S,S,S
ITM2011-00579,no data,S,S,R,S,S
ITM2011-00971,no data,R,R,S,S,S
ITM2011-01156,no data,S,R,S,S,S
ITM2011-01158,no data,S,R,S,S,S
ITM2011-01163,no data,S,R,S,S,S
ITM2011-01200,no data,R,R,S,S,S
ITM2011-01203,no data,R,R,S,S,low
ITM2011-01487,no data,R,S,S,S,S
ITM2011-01507,no data,S,R,S,S,S
ITM2012-01038,no data,R,R,S,S,low
ITM2013-00990,high,S,R,R,S,high
ITM2013-01037,moderate,R,R,S,S,high
ITM2013-01041,high,R,R,S,S,high
ITM2014-00349,moderate,S,R,S,S,high
ITM2014-00405,moderate,S,R,S,S,high
ITM2014-01390,moderate,S,R,S,S,high
ITM2014-01392,moderate,R,R,R,S,low
ITM2014-01986,moderate,R,R,S,S,low
ITM2014-02008,moderate,R,R,S,S,high
ITM2015-00187,low,S,S,S,S,high
ITM2015-00204,high,S,R,S,S,high
ITM2015-00230,moderate,S,R,S,S,high
ITM2015-00811,moderate,S,R,S,S,high
ITM2004-01833,no data,S,S,S,S,S
ITM2004-02329,no data,S,R,R,S,S
ITM2004-02855,no data,S,R,S,S,S
ITM2004-02862,no data,R,R,S,S,S
ITM2005-00028,no data,S,R,R,S,S
ITM2005-00049,no data,R,S,R,S,S
ITM2005-01550,no data,S,R,S,S,S
ITM2005-01562,no data,S,R,S,S,S
ITM2005-01588,no data,S,R,S,S,S
ITM2005-01831,S,S,S,S,S,S
ITM2005-01840,no data,S,S,R,S,S
ITM2005-02145,no data,R,R,S,S,S
ITM2005-02168,no data,R,R,R,S,S
ITM2005-02195,no data,S,R,S,S,S
ITM2005-02784,no data,R,R,S,S,S
ITM2005-02826,no data,R,R,S,S,S
ITM2005-02873,no data,R,R,S,S,S
ITM2005-02874,no data,S,R,S,S,S
ITM2005-02880,no data,S,R,S,S,S
ITM2006-00115,no data,S,R,S,S,S
ITM2006-00287,no data,S,R,S,S,S
ITM2006-00310,no data,S,R,S,S,S
ITM2006-00328,no data,S,R,S,S,S
ITM2006-00336,no data,S,R,S,S,S
ITM2006-00339,no data,R,R,S,S,S
ITM2006-00342,no data,S,S,S,S,S
ITM2006-00633,no data,S,R,S,S,S
ITM2006-00662,no data,R,R,S,S,S
ITM2006-00663,no data,S,S,S,S,S
ITM2006-00699,no data,R,R,S,S,S
ITM2006-00711,no data,S,R,S,S,S
ITM2006-00733,low,S,R,S,S,S
ITM2006-00741,no data,S,R,S,S,S
ITM2006-01602,no data,S,R,S,S,S
ITM2006-01618,no data,S,S,S,S,low
ITM2006-01936,low,S,R,S,S,S
ITM2006-01937,low,S,R,S,S,S
ITM2006-01941,no data,R,S,R,S,S
ITM2006-01944,no data,S,S,R,S,S
ITM2006-02520,no data,R,S,S,S,S
ITM2006-02538,no data,S,R,R,S,S
ITM2006-03444,no data,R,S,S,S,S
ITM2006-03446,no data,R,R,S,S,S
ITM2006-03454,no data,S,S,S,S,S
ITM2006-03705,no data,S,R,S,S,S
ITM2006-03883,no data,S,R,S,S,S
ITM2007-00054,no data,R,R,S,S,S
ITM2007-00057,no data,S,S,S,S,S
ITM2007-00073,no data,R,R,S,S,S
ITM2007-00253,low,S,S,R,S,S
ITM2007-00258,no data,S,S,S,S,S
ITM2007-00260,no data,S,R,S,S,S
ITM2007-01356,no data,S,R,S,S,S
ITM2007-01369,no data,R,R,S,S,S
ITM2007-01395,no data,R,R,S,S,low
ITM2007-01470,no data,S,R,S,S,S
ITM2007-01725,no data,S,R,S,S,S
ITM2007-01727,no data,S,R,S,S,S
ITM2007-01731,no data,R,R,S,S,low
ITM2007-01855,no data,S,R,S,S,S
ITM2007-01857,no data,S,S,S,S,S
ITM2007-01868,low,S,R,R,S,S
ITM2007-01870,no data,S,S,S,S,S
ITM2007-01883,no data,S,S,S,S,S
ITM2007-01890,no data,S,S,R,S,S
ITM2007-01891,no data,R,S,S,S,S
ITM2007-02508,no data,S,R,R,S,S
ITM2007-02874,no data,R,R,S,S,S
ITM2007-02888,no data,S,R,S,S,S
ITM2007-02925,no data,S,S,S,S,S
ITM2007-03521,no data,S,R,R,S,S
ITM2007-03560,no data,S,R,S,S,S
ITM2007-03574,no data,S,S,S,S,S
ITM2007-03592,no data,S,S,S,S,S
ITM2007-03593,no data,R,R,S,S,S
