run,bioproject,biosample,amikacin,ciprofloxacin,capreomycin,cycloserine,ethambutol,ethionamide,isoniazid,kanamycin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,rifampicin,rifabutin,streptomycin,pyrazinamide
ERR551230,PRJEB6273,SAMEA2533791,S,,S,S,R,S,R,,S,,S,S,R,,R,S
ERR2307572,PRJEB24099,SAMEA104600357,,,,,R,,R,,,,,,R,,R,
ERR2307573,PRJEB24099,SAMEA104600358,,,,,R,,R,,,,,,R,,R,R
ERR552403,PRJEB6273,SAMEA2534626,,,S,S,R,S,R,,S,,S,R,R,,R,S
ERR2307574,PRJEB24099,SAMEA104600359,,,,,R,,R,,,,,,R,,R,S
ERR552753,PRJEB6273,SAMEA2534877,,,S,S,S,R,R,,,,S,,R,,R,S
ERR2307576,PRJEB24099,SAMEA104600361,,,,,R,,R,,,,,,R,,R,R
ERR552369,PRJEB6273,SAMEA2534601,R,,R,S,S,R,R,,S,,S,S,R,,R,S
ERR2307578,PRJEB24099,SAMEA104600363,S,,S,S,R,,R,,S,,S,S,R,,R,S
ERR2307579,PRJEB24099,SAMEA104600364,,,,,,,R,,,,,,,,R,
ERR550912,PRJEB6273,SAMEA2533558,S,,S,S,R,S,R,,S,,S,,R,,R,S
ERR551560,PRJEB6273,SAMEA2534027,S,S,S,S,S,R,R,,,,S,,R,,R,S
ERR2307581,PRJEB24099,SAMEA104600366,,,,,S,,R,,,,,,R,,R,S
ERR553250,PRJEB6273,SAMEA2535246,,,S,S,R,S,R,,S,,S,,R,,R,R
ERR2307582,PRJEB24099,SAMEA104600367,,,,,R,,R,,,,,,R,,R,R
ERR2307583,PRJEB24099,SAMEA104600368,,,,,S,,R,,,,,,S,,R,S
ERR2307584,PRJEB24099,SAMEA104600369,,,,,R,,R,,,,,,R,,R,R
ERR551256,PRJEB6273,SAMEA2533810,,,S,S,R,S,R,,S,,S,,R,,R,S
ERR551628,PRJEB6273,SAMEA2534079,R,,R,S,R,R,R,,,,S,R,R,,R,S
ERR553106,PRJEB6273,SAMEA2535141,S,,S,S,S,S,R,,S,,S,,R,,R,S
ERR2307587,PRJEB24099,SAMEA104600371,,,,,R,,R,,,,,,,,R,
ERR551914,PRJEB6273,SAMEA2534286,,,,S,S,S,R,,,,S,,R,,R,S
ERR551890,PRJEB6273,SAMEA2534269,S,,S,S,R,R,R,,S,,S,S,R,,R,S
ERR2307588,PRJEB24099,SAMEA104600372,,,,,R,,R,,,,,,R,,R,S
ERR553295,PRJEB6273,SAMEA2535284,,,S,S,R,S,R,,,,S,,R,,R,S
ERR550903,PRJEB6273,SAMEA2533552,,,S,S,S,S,R,,,,S,,R,,R,S
ERR2307591,PRJEB24099,SAMEA104600375,,,,R,,,R,,,,,,,,R,
ERR2307592,PRJEB24099,SAMEA104600376,,,,,S,,R,,,,,,S,,S,S
ERR2307593,PRJEB24099,SAMEA104600377,,,,,R,,R,,,,,,R,,R,S
ERR552965,PRJEB6273,SAMEA2535036,,,S,S,R,S,R,,S,,S,,R,,R,S
ERR2307596,PRJEB24099,SAMEA104600380,,,,,R,,R,,,,,,R,,R,
ERR2307597,PRJEB24099,SAMEA104600381,,,,,R,,R,,,,,,R,,R,S
ERR551782,PRJEB6273,SAMEA2534189,S,,S,S,R,S,R,,S,S,S,S,R,R,R,R
ERR551547,PRJEB6273,SAMEA2534019,,,S,S,S,S,R,,S,,S,,R,,R,S
ERR552808,PRJEB6273,SAMEA2534917,S,,S,S,S,S,R,,S,,S,,R,,R,R
ERR2307600,PRJEB24099,SAMEA104600384,,,,,R,,R,,,,,,R,,R,R
ERR2307601,PRJEB24099,SAMEA104600385,,,,,S,,R,,,,,,R,,R,S
ERR553391,PRJEB6273,SAMEA2535360,S,,S,S,R,R,R,,S,S,S,S,R,,R,S
ERR553040,PRJEB6273,SAMEA2535090,S,,S,S,R,R,R,,,,S,,R,,R,S
ERR2307602,PRJEB24099,SAMEA104600386,,,,,R,,R,,,,,,R,,R,S
ERR553292,PRJEB6273,SAMEA2535281,,,S,S,R,R,R,,S,,S,,R,,R,S
ERR2307604,PRJEB24099,SAMEA104600388,,,,,R,,R,,,,,,R,,R,
ERR2307605,PRJEB24099,SAMEA104600389,,,,,S,,R,,,,,,S,,R,S
ERR552344,PRJEB6273,SAMEA2534581,R,,R,S,R,R,R,,S,,S,,R,,R,R
ERR2307609,PRJEB24099,SAMEA104600393,,,,,R,,R,,,,,,R,,R,S
ERR2307610,PRJEB24099,SAMEA104600394,,,S,,R,,R,,,,S,,R,,R,S
ERR551833,PRJEB6273,SAMEA2534224,S,,S,S,R,R,R,,S,,S,S,R,R,R,R
ERR2307613,PRJEB24099,SAMEA104600397,,,,R,,,R,,,,,,,,R,
ERR552437,PRJEB6273,SAMEA2534645,S,,S,S,R,S,R,,S,,S,S,R,R,R,S
ERR551177,PRJEB6273,SAMEA2533755,,,R,S,S,S,R,,S,,S,,R,,R,S
ERR2307614,PRJEB24099,SAMEA104600398,,,,,R,,R,,,,,,R,,R,R
ERR553133,PRJEB6273,SAMEA2535159,R,,R,S,R,S,R,,S,,S,S,R,R,R,R
ERR550800,PRJEB6273,SAMEA2533479,S,,S,,R,,R,,,,S,,R,,R,R
