run,bioproject,study,biosample,sample,experiment,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
ERR2516947,PRJEB26001,,,ERS2401624,ERX2536162,S,,S,,,,,R,S,R,,R,,R,
ERR2516750,PRJEB26001,,,ERS2401427,ERX2535965,S,,S,,,,S,R,S,R,,R,,R,
ERR2516937,PRJEB26001,,,ERS2401614,ERX2536152,S,,S,,,,S,R,S,S,,S,,R,
ERR2516975,PRJEB26001,,,ERS2401652,ERX2536190,S,,S,,,,R,R,S,S,,S,,R,
ERR2517055,PRJEB26001,,,ERS2401732,ERX2536270,S,,S,,,,,R,S,S,,S,,R,
ERR2517087,PRJEB26001,,,ERS2401764,ERX2536302,,,,,,,R,R,,,,,,,
ERR2516772,PRJEB26001,,,ERS2401449,ERX2535987,S,,S,,,,,R,R,R,,R,,R,
ERR2516984,PRJEB26001,,,ERS2401661,ERX2536199,S,,S,,,,,R,S,R,,R,,R,
ERR2516756,PRJEB26001,,,ERS2401433,ERX2535971,S,,S,,,,,R,S,S,,S,,R,
ERR2516922,PRJEB26001,,,ERS2401599,ERX2536137,S,,S,,,,,R,R,S,,S,,R,
ERR2517064,PRJEB26001,,,ERS2401741,ERX2536279,S,,S,,,,,R,S,S,,S,,R,
ERR2517000,PRJEB26001,,,ERS2401677,ERX2536215,S,,S,,,,R,R,S,S,,S,,R,
ERR2516771,PRJEB26001,,,ERS2401448,ERX2535986,S,,S,,,,,R,S,S,,S,,R,
ERR2517013,PRJEB26001,,,ERS2401690,ERX2536228,S,,S,,,,R,R,S,R,,R,,R,
ERR2516825,PRJEB26001,,,ERS2401502,ERX2536040,S,,S,,,,R,R,S,R,,R,,R,
ERR2517107,PRJEB26001,,,ERS2401784,ERX2536322,S,,S,,,,R,R,S,S,,S,,R,
ERR2517106,PRJEB26001,,,ERS2401783,ERX2536321,S,,S,,,,,R,S,S,,S,,R,
ERR2516925,PRJEB26001,,,ERS2401602,ERX2536140,S,,S,,,,S,R,S,S,,S,,R,
ERR2516889,PRJEB26001,,,ERS2401566,ERX2536104,,,,,,,S,S,,,,,,,
ERR2517018,PRJEB26001,,,ERS2401695,ERX2536233,S,,S,,,,R,R,S,S,,S,,R,
ERR2516806,PRJEB26001,,,ERS2401483,ERX2536021,S,,S,,,,,R,R,R,,R,,R,
ERR2516908,PRJEB26001,,,ERS2401585,ERX2536123,S,,S,,,,,R,S,S,,S,,R,
ERR2516821,PRJEB26001,,,ERS2401498,ERX2536036,S,,S,,,,R,R,S,S,,S,,R,
ERR2516932,PRJEB26001,,,ERS2401609,ERX2536147,S,,S,,,,,R,S,S,,S,,R,
ERR2516840,PRJEB26001,,,ERS2401517,ERX2536055,S,,S,,,,,R,S,S,,S,,R,
ERR2516969,PRJEB26001,,,ERS2401646,ERX2536184,S,,R,,,,,R,S,S,,S,,R,
ERR2516863,PRJEB26001,,,ERS2401540,ERX2536078,R,,R,,,,R,R,R,S,,S,,R,
ERR2517111,PRJEB26001,,,ERS2401788,ERX2536326,S,,S,,,,S,R,S,S,,S,,R,
ERR2516783,PRJEB26001,,,ERS2401460,ERX2535998,S,,S,,,,S,R,S,S,,S,,R,
ERR2516819,PRJEB26001,,,ERS2401496,ERX2536034,S,,S,,,,R,R,S,S,,S,,R,
ERR2516793,PRJEB26001,,,ERS2401470,ERX2536008,S,,S,,,,R,R,S,S,,S,,R,
ERR2516859,PRJEB26001,,,ERS2401536,ERX2536074,S,,S,,,,S,R,S,S,,S,,R,
ERR2517007,PRJEB26001,,,ERS2401684,ERX2536222,S,,S,,,,S,R,S,S,,S,,R,
ERR2516744,PRJEB26001,,,ERS2401421,ERX2535959,S,,S,,,,S,R,S,S,,S,,,
ERR2516762,PRJEB26001,,,ERS2401439,ERX2535977,,,,,,,S,S,,,,,,,
ERR2516809,PRJEB26001,,,ERS2401486,ERX2536024,S,,S,,,,R,R,S,S,,S,,R,
ERR2516803,PRJEB26001,,,ERS2401480,ERX2536018,S,,S,,,,,R,S,S,,S,,R,
ERR2517026,PRJEB26001,,,ERS2401703,ERX2536241,S,,S,,,,S,R,S,S,,S,,R,
ERR2517116,PRJEB26001,,,ERS2401793,ERX2536331,S,,S,,,,,R,S,R,,R,,R,
