accession,rifampicin,isoniazid,pyrazinamide,ethambutol,streptomycin,fluoroquinolones,moxifloxacin,ofloxacin,levofloxacin,ciprofloxacin,aminoglycosides,amikacin,kanamycin,capreomycin,ethionamide,para-aminosalicylic_acid,cycloserine
ERR1873534,R,R,R,R,S,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1873475,R,R,R,S,S,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR108480,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172239,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172313,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1035260,R,R,ND,R,R,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR1034783,R,R,R,S,S,ND,ND,ND,ND,R,ND,ND,R,S,S,S,S
ERR2516698,R,R,S,R,R,ND,R,ND,ND,ND,ND,ND,R,R,R,ND,ND
ERR2516738,R,R,R,R,S,ND,R,ND,ND,ND,ND,S,S,R,S,ND,ND
ERR1034789,R,R,R,R,R,ND,ND,ND,ND,R,ND,ND,R,R,R,S,S
ERR2516623,R,R,S,R,R,ND,R,ND,ND,ND,ND,S,R,R,R,ND,ND
SRR6848321,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1873518,R,R,R,R,R,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1873448,R,R,R,R,R,ND,S,R,ND,ND,ND,R,R,R,S,S,S
ERR1873554,R,R,R,S,R,ND,S,R,ND,ND,ND,S,S,R,S,S,S
ERR1873550,R,R,S,R,R,ND,R,R,ND,ND,ND,R,R,R,R,S,S
ERR1873441,R,R,R,R,R,ND,S,R,ND,ND,ND,R,R,S,S,S,R
ERR1873462,R,R,R,R,R,ND,S,R,ND,ND,ND,R,R,R,S,S,S
ERR2516709,R,R,R,R,R,ND,R,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR2516728,R,R,R,R,R,ND,R,ND,ND,ND,ND,R,R,R,R,ND,ND
SRR924218,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1034603,R,R,R,R,S,ND,ND,ND,ND,R,ND,R,R,R,S,ND,ND
ERR688035,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR1873531,R,R,R,S,S,ND,S,R,ND,ND,ND,S,S,R,S,S,R
ERR1873506,R,R,R,R,R,ND,R,R,ND,ND,ND,R,R,R,S,S,R
SRR1175354,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173038,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184360,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1196586,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173422,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR2433008,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062837,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924217,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062841,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172836,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173032,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR227985,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067645,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR867524,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR867534,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1035363,R,R,ND,R,S,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR1035355,R,R,ND,R,S,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR2516591,R,R,ND,R,R,ND,R,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR2516430,R,R,R,S,R,ND,R,ND,ND,ND,ND,R,R,S,S,ND,ND
ERR2516645,R,R,R,R,R,ND,R,ND,ND,ND,ND,R,R,R,S,ND,ND
ERR1034999,R,R,R,S,S,ND,ND,R,ND,ND,ND,ND,R,ND,R,ND,ND
ERR1035327,R,R,ND,S,S,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR1035314,R,R,ND,S,S,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
SRR1184340,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1034611,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,R,ND,ND
ERR688043,R,R,R,ND,ND,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034598,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,R,ND,ND
ERR688030,R,R,R,R,ND,R,ND,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR688041,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR1034609,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,R,ND,ND
ERR1873449,R,R,R,R,S,ND,R,R,ND,ND,ND,S,R,S,S,S,S
ERR1873459,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,S,S,S,S
SRR1196528,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184352,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR671862,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,R,ND,ND
SRR921503,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR671725,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,S,ND,ND
SRR671740,R,R,ND,S,S,ND,ND,R,ND,ND,ND,ND,R,S,S,ND,ND
SRR671760,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,R,ND,ND
ERR1873483,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,R,S,S,S
SRR833000,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1873512,R,R,R,S,R,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1873444,R,R,R,R,S,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1873511,R,R,R,S,S,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1035359,R,R,ND,R,R,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR2432994,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1035321,R,R,ND,R,R,ND,ND,R,ND,ND,ND,S,S,R,ND,ND,ND
ERR1035288,R,R,ND,R,R,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR1035266,R,R,ND,R,R,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR2516662,R,R,S,R,R,ND,R,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR1035228,R,R,R,R,R,ND,ND,R,ND,ND,ND,R,R,R,R,S,S
ERR1035221,R,R,R,R,R,ND,R,R,ND,ND,ND,R,ND,R,R,S,S
ERR1036291,R,R,R,R,S,ND,ND,R,ND,ND,ND,R,R,R,R,S,S
ERR1035237,R,R,R,R,R,ND,R,R,ND,ND,ND,R,ND,R,R,ND,ND
ERR1035225,R,R,R,R,R,ND,ND,R,ND,ND,ND,R,R,R,R,S,S
ERR1035194,R,R,R,S,S,ND,S,R,ND,ND,ND,R,ND,R,R,R,R
ERR1034821,R,R,R,R,S,ND,ND,R,ND,ND,ND,R,ND,R,R,ND,ND
ERR1034859,R,R,ND,ND,R,ND,ND,R,ND,ND,ND,S,R,S,R,R,R
ERR1034905,R,R,R,S,R,ND,ND,R,ND,ND,ND,S,R,S,R,S,R
ERR1034867,R,R,ND,S,R,ND,ND,R,ND,ND,ND,S,R,S,R,S,R
ERR1034903,R,R,R,R,R,ND,ND,R,ND,ND,ND,S,R,S,R,S,R
ERR1036276,R,R,R,R,R,ND,ND,R,ND,ND,ND,S,R,S,R,ND,ND
ERR1034852,R,R,R,R,R,ND,ND,R,ND,ND,ND,S,R,R,R,R,R
ERR1036296,R,R,R,S,R,ND,ND,R,ND,ND,ND,R,R,R,R,S,S
ERR1036294,R,R,R,R,R,ND,ND,R,ND,ND,ND,R,R,R,R,S,S
ERR1034908,R,R,R,R,R,ND,ND,R,ND,ND,ND,S,R,R,R,S,R
ERR1034889,R,R,S,S,R,ND,ND,R,ND,ND,ND,S,S,R,R,S,S
ERR1035235,R,R,S,S,R,ND,R,R,ND,ND,ND,R,ND,R,R,R,ND
ERR1035240,R,R,R,R,R,ND,R,R,ND,ND,ND,R,ND,R,R,R,ND
ERR1036289,R,R,S,R,R,ND,ND,R,ND,ND,ND,S,R,S,R,ND,ND
ERR1036274,R,R,S,S,R,ND,ND,R,ND,ND,ND,S,R,R,R,ND,ND
ERR1035222,R,R,R,R,R,ND,R,R,ND,ND,ND,R,R,R,R,R,R
ERR1034871,R,R,R,R,R,ND,ND,R,ND,ND,ND,S,R,R,R,ND,R
ERR1034868,R,R,R,R,R,ND,ND,R,ND,ND,ND,S,R,R,R,S,S
SRR6848322,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR2516457,R,R,S,R,S,ND,R,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR2516614,R,R,S,R,S,ND,R,ND,ND,ND,ND,ND,R,R,S,ND,ND
ERR2516690,R,R,ND,R,R,ND,R,ND,ND,ND,ND,ND,R,R,S,ND,ND
SRR1168981,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067679,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169014,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172185,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1181128,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1181033,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172393,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1181098,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1181300,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1174825,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169039,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172162,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1168987,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062854,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062834,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184366,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924223,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184378,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924232,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924694,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1181376,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924205,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173199,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184342,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1196503,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924213,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184382,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184333,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1196575,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173448,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1196504,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1175022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924216,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184300,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1181391,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR832991,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1181357,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924692,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062842,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1034984,R,R,ND,ND,ND,ND,ND,R,ND,ND,ND,R,ND,ND,S,ND,ND
SRR924227,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062827,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1196542,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924220,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184320,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1196511,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173349,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1181396,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR847793,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924226,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062846,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184301,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924206,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR833191,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062822,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062825,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924228,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924222,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1196477,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR833121,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924207,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173039,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173354,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924234,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1196530,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184331,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062823,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184326,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1196510,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173142,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924225,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924208,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924219,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924697,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924215,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924230,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184297,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1196515,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1175065,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR688026,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034594,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688027,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034595,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,S,ND,ND
ERR1034617,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688049,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR3335801,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1034614,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688046,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034612,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,S,ND,ND
ERR688044,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034596,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,S,ND,ND
ERR688028,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034583,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,S,ND,ND
ERR688015,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR3335776,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR688016,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034584,R,R,R,R,S,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR1034593,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,S,ND,ND
ERR688017,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034585,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688025,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR3335739,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR3335743,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR3335724,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR688036,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034604,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,R,ND,ND
ERR1034589,R,R,R,S,S,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688021,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,ND,ND,ND
ERR688023,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034591,R,R,R,S,R,ND,ND,ND,ND,R,ND,R,R,S,R,ND,ND
ERR1034599,R,R,R,S,S,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688031,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,ND,ND,ND
ERR688029,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,R,ND,ND
ERR1034597,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688013,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,ND,ND,ND
ERR1034581,R,R,R,S,S,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688034,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,ND,ND,ND
ERR1034602,R,R,R,S,S,ND,ND,ND,ND,R,ND,R,R,R,S,ND,ND
ERR1034586,R,R,R,R,S,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688018,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034590,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688022,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR688045,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,R,ND,ND
ERR1034613,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR1034600,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,S,ND,ND
ERR688032,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR688040,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,ND,ND,ND
ERR1034608,R,R,R,S,S,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR1034601,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,S,ND,ND
ERR688033,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,ND,ND,ND
ERR688014,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034582,R,R,R,S,R,ND,ND,ND,ND,R,ND,R,R,R,S,ND,ND
ERR688037,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,ND,ND,ND
ERR1034605,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688048,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,ND,ND,ND
ERR688019,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR688047,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR1034587,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR1034615,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR1034616,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
M02617-60,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,S,R,ND,R,ND
M01758-60,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
SRR921502,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
M05076-58,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,R,ND
