accession,rifampicin,isoniazid,pyrazinamide,ethambutol,streptomycin,fluoroquinolones,moxifloxacin,ofloxacin,levofloxacin,ciprofloxacin,aminoglycosides,amikacin,kanamycin,capreomycin,ethionamide,para-aminosalicylic_acid,cycloserine
M01428-60,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,R,ND
SRR671807,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,S,ND,ND
SRR671865,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,ND,ND
SRR1062820,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR833096,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR3610840,R,R,S,R,ND,ND,R,R,ND,ND,ND,R,R,ND,R,ND,ND
SRR8651594,R,R,R,R,R,ND,R,ND,R,ND,ND,R,R,R,ND,S,ND
SRR671794,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,R,ND,ND
M00911-60,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
SRR8651616,R,R,R,R,R,ND,S,ND,R,ND,ND,R,R,S,ND,S,ND
M07419-58,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,S,ND
M08006-58,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
M00053-59,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
SRR671810,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,S,S,ND,ND
ERR1873556,R,R,R,S,R,ND,S,R,ND,ND,ND,R,R,R,R,S,S
ERR1873474,R,R,R,R,R,ND,S,R,ND,ND,ND,R,R,S,R,S,S
ERR1873562,R,R,R,R,R,ND,S,R,ND,ND,ND,R,R,R,R,R,R
ERR1873560,R,R,R,R,R,ND,S,R,ND,ND,ND,R,R,R,R,S,S
ERR1873509,R,R,R,R,R,ND,S,R,ND,ND,ND,R,R,R,S,S,S
SRR671726,R,R,ND,R,S,ND,ND,R,ND,ND,ND,ND,R,R,S,ND,ND
M05863-58,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,S,ND
M01470-60,R,R,ND,S,S,ND,ND,R,ND,ND,ND,ND,R,R,ND,S,ND
SRR671779,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,ND,R,ND,ND,ND
SRR671842,R,R,ND,R,S,ND,ND,R,ND,ND,ND,ND,R,R,R,ND,ND
M06565-59,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,S,ND
M04967-58,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,R,ND
M02578-60,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,R,ND
ERR2516648,R,R,R,R,R,ND,R,ND,ND,ND,ND,R,R,R,R,ND,ND
M05377-59,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,R,ND
ERR2516717,R,R,R,S,R,ND,R,ND,ND,ND,ND,R,R,S,R,ND,ND
M05472-59,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,S,ND
M02194-57,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
M06687-59,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,R,ND
M40543-58,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,ND,ND,R,ND
M02248-57,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
M06660-58,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,R,ND
M05475-57,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
M01027-57,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
M03452-57,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,S,ND
M01705-59,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,S,ND
M04542-58,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,R,ND
M05860-57,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,ND,S,ND
M02756-60,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,ND,R,ND
SRR2100419,R,R,R,R,R,ND,R,R,ND,ND,ND,S,R,S,ND,ND,ND
ERR228049,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR108420,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR229929,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067584,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067674,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR2100830,R,R,R,R,R,ND,R,R,ND,S,ND,S,R,S,ND,ND,ND
ERR867523,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR867533,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172073,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172230,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169119,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067696,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR117454,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR234600,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR229982,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169096,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169116,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067644,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR158588,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR2100227,R,R,S,R,ND,ND,R,ND,ND,R,ND,S,R,S,ND,ND,ND
ERR067671,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184040,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169108,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1180924,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1181132,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169073,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1181278,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172291,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1180989,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1181208,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169128,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1180957,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1169086,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
