run,bioproject,biosample,isoniazid,rifampicin,ethambutol,pyrazinamide,amikacin,capreomycin,kanamycin,moxifloxacin,levofloxacin
ERR7911370,PRJEB48275,SAMEA10029845,R,R,,R,S,S,S,S,S
ERR7911371,PRJEB48275,SAMEA10029846,R,R,,R,S,S,S,S,S
ERR7911372,PRJEB48275,SAMEA10029847,R,R,,R,S,S,S,S,S
ERR7911373,PRJEB48275,SAMEA10029848,R,S,,S,R,R,R,R,S
ERR7911374,PRJEB48275,SAMEA10029849,R,S,,R,S,S,S,S,S
ERR7911375,PRJEB48275,SAMEA10029850,R,R,,S,S,S,S,S,S
ERR7912726,PRJEB48275,SAMEA10029851,R,R,,R,S,S,S,S,S
ERR7912727,PRJEB48275,SAMEA10029852,R,R,,,S,S,S,S,S
ERR7911376,PRJEB48275,SAMEA10029853,R,R,,R,R,R,R,S,S
ERR7911101,PRJEB48275,SAMEA10029854,R,R,R,S,S,S,S,S,S
ERR7911102,PRJEB48275,SAMEA10029855,R,R,R,R,S,S,S,S,S
ERR7911103,PRJEB48275,SAMEA10029856,R,R,R,R,S,S,S,S,S
ERR7911104,PRJEB48275,SAMEA10029857,R,R,R,R,S,S,S,S,S
ERR7911105,PRJEB48275,SAMEA10029858,R,R,R,S,S,S,S,S,S
ERR7911106,PRJEB48275,SAMEA10029859,R,R,R,R,S,S,S,S,S
ERR7911107,PRJEB48275,SAMEA10029860,R,R,R,R,S,S,S,S,S
ERR7911108,PRJEB48275,SAMEA10029861,R,R,R,R,S,S,S,S,S
ERR7911109,PRJEB48275,SAMEA10029862,R,R,R,S,S,S,S,S,S
ERR7911110,PRJEB48275,SAMEA10029863,R,R,R,R,S,S,S,S,S
ERR7911111,PRJEB48275,SAMEA10029864,R,R,R,R,S,S,S,S,S
ERR7911112,PRJEB48275,SAMEA10029865,R,R,R,S,S,S,S,S,S
ERR7911113,PRJEB48275,SAMEA10029866,R,S,S,R,S,S,S,S,S
ERR7911114,PRJEB48275,SAMEA10029867,R,R,S,R,S,S,S,R,R
ERR7911115,PRJEB48275,SAMEA10029868,R,R,S,R,S,S,S,R,R
ERR7911116,PRJEB48275,SAMEA10029869,R,R,R,S,S,S,S,S,S
ERR7911117,PRJEB48275,SAMEA10029870,R,R,R,R,S,S,S,S,S
ERR7911118,PRJEB48275,SAMEA10029871,R,R,S,S,S,S,S,S,S
ERR7911119,PRJEB48275,SAMEA10029872,R,R,R,R,S,S,S,S,S
ERR7911120,PRJEB48275,SAMEA10029873,R,R,S,R,S,S,S,S,S
ERR7911121,PRJEB48275,SAMEA10029874,R,R,S,R,S,S,S,S,S
ERR7911122,PRJEB48275,SAMEA10029875,R,R,S,R,S,S,S,S,S
ERR7911123,PRJEB48275,SAMEA10029876,R,S,S,R,S,S,S,S,S
ERR7911124,PRJEB48275,SAMEA10029877,R,R,R,R,S,S,S,S,S
ERR7911125,PRJEB48275,SAMEA10029878,R,R,S,S,S,S,S,S,S
ERR7911126,PRJEB48275,SAMEA10029879,R,R,R,R,S,S,S,S,S
ERR7911127,PRJEB48275,SAMEA10029880,R,R,S,S,S,S,S,S,S
ERR7911128,PRJEB48275,SAMEA10029881,R,S,S,S,S,S,S,S,S
ERR7911129,PRJEB48275,SAMEA10029882,R,S,S,S,S,S,S,S,S
ERR7911130,PRJEB48275,SAMEA10029883,R,R,R,S,S,S,S,S,S
ERR7911131,PRJEB48275,SAMEA10029884,R,R,R,R,R,S,R,S,S
ERR7911132,PRJEB48275,SAMEA10029885,S,R,S,S,S,S,S,S,S
ERR7911133,PRJEB48275,SAMEA10029886,R,R,R,R,S,S,S,S,S
ERR7911134,PRJEB48275,SAMEA10029887,R,R,S,S,S,S,S,S,S
ERR7911135,PRJEB48275,SAMEA10029888,R,R,R,S,S,S,S,S,S
ERR7911136,PRJEB48275,SAMEA10029889,R,R,S,S,S,S,S,S,S
ERR7911137,PRJEB48275,SAMEA10029890,R,S,S,S,S,S,S,S,S
ERR7911138,PRJEB48275,SAMEA10029891,R,R,R,R,S,S,S,S,S
ERR7911139,PRJEB48275,SAMEA10029892,R,R,S,S,S,S,S,S,S
ERR7911140,PRJEB48275,SAMEA10029893,R,R,S,S,S,S,S,S,S
ERR7911141,PRJEB48275,SAMEA10029894,R,R,R,R,S,S,S,S,S
ERR7911142,PRJEB48275,SAMEA10029895,R,R,S,S,S,S,S,S,S
ERR7911143,PRJEB48275,SAMEA10029896,R,R,S,S,S,S,S,S,S
ERR7911144,PRJEB48275,SAMEA10029897,R,R,S,R,S,S,S,S,S
ERR7911145,PRJEB48275,SAMEA10029898,R,R,S,S,S,S,S,S,S
ERR7911146,PRJEB48275,SAMEA10029899,R,R,S,R,S,S,S,S,S
ERR7911147,PRJEB48275,SAMEA10029900,R,R,R,R,S,S,S,S,S
