run,isoniazid,pyrazinamide,ethambutol,ethionamide,kanamycin,bioproject,biosample
ERR4553937,R,S,R,R,R,PRJEB39569,SAMEA7280680
ERR4553938,R,S,R,R,S,PRJEB39569,SAMEA7280681
ERR4553942,R,S,R,S,S,PRJEB39569,SAMEA7280685
ERR4553950,R,R,R,R,R,PRJEB39569,SAMEA7280693
ERR4553952,R,S,R,R,S,PRJEB39569,SAMEA7280695
ERR4553955,R,R,R,S,S,PRJEB39569,SAMEA7280698
ERR4553956,R,S,R,R,S,PRJEB39569,SAMEA7280699
ERR4553964,R,S,R,S,S,PRJEB39569,SAMEA7280707
ERR4553965,R,S,S,S,S,PRJEB39569,SAMEA7280708
ERR4553827,R,R,R,S,S,PRJEB39569,SAMEA7280569
ERR4553834,R,R,S,S,S,PRJEB39569,SAMEA7280576
ERR4553870,,R,R,S,S,PRJEB39569,SAMEA7280612
ERR4553872,R,R,R,S,S,PRJEB39569,SAMEA7280614
ERR4553874,R,S,R,S,S,PRJEB39569,SAMEA7280616
ERR4553877,R,R,R,S,S,PRJEB39569,SAMEA7280619
ERR4553879,R,R,R,S,S,PRJEB39569,SAMEA7280621
ERR4553885,R,R,R,S,S,PRJEB39569,SAMEA7280627
ERR4553566,R,R,R,S,S,PRJEB39569,SAMEA7280308
ERR4553567,R,S,R,R,S,PRJEB39569,SAMEA7280309
ERR4553572,,R,S,S,S,PRJEB39569,SAMEA7280314
ERR4553585,R,S,R,R,S,PRJEB39569,SAMEA7280327
ERR4553649,R,R,R,S,S,PRJEB39569,SAMEA7280391
ERR4553650,R,R,R,S,S,PRJEB39569,SAMEA7280392
ERR4553653,R,R,R,R,R,PRJEB39569,SAMEA7280395
ERR4553689,R,R,S,S,S,PRJEB39569,SAMEA7280431
ERR4553694,R,S,R,R,S,PRJEB39569,SAMEA7280436
ERR4553695,R,R,R,S,S,PRJEB39569,SAMEA7280437
ERR4553710,R,R,R,S,S,PRJEB39569,SAMEA7280452
ERR4553717,R,R,R,S,S,PRJEB39569,SAMEA7280459
ERR4553724,R,R,R,S,S,PRJEB39569,SAMEA7280466
ERR4553403,,S,R,S,S,PRJEB39569,SAMEA7280145
ERR4553404,,S,S,S,S,PRJEB39569,SAMEA7280146
