run,isoniazid,pyrazinamide,ethambutol,ethionamide,kanamycin,bioproject,biosample
ERR4553740,,S,R,S,S,PRJEB39569,SAMEA7280482
ERR4553741,,R,R,S,S,PRJEB39569,SAMEA7280483
ERR4553742,,R,R,R,S,PRJEB39569,SAMEA7280484
ERR4553743,,S,S,R,S,PRJEB39569,SAMEA7280485
ERR4553751,,S,R,S,S,PRJEB39569,SAMEA7280493
ERR4553752,,R,R,S,S,PRJEB39569,SAMEA7280494
ERR4553754,,R,R,S,S,PRJEB39569,SAMEA7280496
ERR4553753,,S,R,S,S,PRJEB39569,SAMEA7280495
ERR4553755,,R,R,R,S,PRJEB39569,SAMEA7280497
ERR4553756,,S,S,S,S,PRJEB39569,SAMEA7280498
ERR4553757,,S,R,S,S,PRJEB39569,SAMEA7280499
ERR4553767,,S,R,S,S,PRJEB39569,SAMEA7280509
ERR4553768,,S,R,S,S,PRJEB39569,SAMEA7280510
ERR4553769,,R,R,S,S,PRJEB39569,SAMEA7280511
ERR4553770,,S,R,S,S,PRJEB39569,SAMEA7280512
ERR4553771,,S,R,R,S,PRJEB39569,SAMEA7280513
ERR4553772,,S,S,R,S,PRJEB39569,SAMEA7280514
ERR4553773,,S,S,R,S,PRJEB39569,SAMEA7280515
ERR4553783,,S,S,R,S,PRJEB39569,SAMEA7280525
ERR4553784,,S,R,R,S,PRJEB39569,SAMEA7280526
ERR4553786,,S,S,R,S,PRJEB39569,SAMEA7280528
ERR4553787,,S,S,S,S,PRJEB39569,SAMEA7280529
ERR4553788,,S,R,S,S,PRJEB39569,SAMEA7280530
ERR4553790,,S,R,S,S,PRJEB39569,SAMEA7280532
ERR4553791,,R,S,S,S,PRJEB39569,SAMEA7280533
ERR4553801,,S,R,S,S,PRJEB39569,SAMEA7280543
ERR4553802,,S,R,S,S,PRJEB39569,SAMEA7280544
ERR4553804,,R,R,S,S,PRJEB39569,SAMEA7280546
ERR4553805,R,R,R,S,S,PRJEB39569,SAMEA7280547
ERR4553806,,R,R,S,S,PRJEB39569,SAMEA7280548
ERR4553807,,S,R,S,S,PRJEB39569,SAMEA7280549
ERR4553815,,R,S,S,S,PRJEB39569,SAMEA7280557
ERR4553816,,R,S,R,S,PRJEB39569,SAMEA7280558
ERR4553817,,S,S,S,S,PRJEB39569,SAMEA7280559
ERR4553818,,S,S,S,S,PRJEB39569,SAMEA7280560
ERR4553819,,S,S,S,S,PRJEB39569,SAMEA7280561
ERR4553820,,S,R,R,S,PRJEB39569,SAMEA7280562
ERR4553822,,S,S,R,S,PRJEB39569,SAMEA7280564
ERR4553830,,S,R,S,S,PRJEB39569,SAMEA7280572
ERR4553831,,R,R,S,S,PRJEB39569,SAMEA7280573
ERR4553833,,S,R,S,S,PRJEB39569,SAMEA7280575
ERR4553835,,S,S,S,S,PRJEB39569,SAMEA7280577
ERR4553836,,S,R,S,S,PRJEB39569,SAMEA7280578
ERR4553837,,R,R,S,S,PRJEB39569,SAMEA7280579
ERR4553846,,S,R,S,S,PRJEB39569,SAMEA7280588
ERR4553847,,S,S,S,S,PRJEB39569,SAMEA7280589
ERR4553848,,R,S,S,S,PRJEB39569,SAMEA7280590
ERR4553849,,S,R,S,S,PRJEB39569,SAMEA7280591
ERR4553850,,S,S,S,S,PRJEB39569,SAMEA7280592
ERR4553851,,S,R,S,S,PRJEB39569,SAMEA7280593
ERR4553852,,S,S,R,S,PRJEB39569,SAMEA7280594
ERR4553860,,R,R,S,S,PRJEB39569,SAMEA7280602
ERR4553861,,S,R,S,S,PRJEB39569,SAMEA7280603
ERR4553862,,S,R,S,S,PRJEB39569,SAMEA7280604
ERR4553864,,S,R,S,S,PRJEB39569,SAMEA7280606
ERR4553865,,R,R,S,S,PRJEB39569,SAMEA7280607
ERR4553866,,R,R,S,S,PRJEB39569,SAMEA7280608
ERR4553878,,R,S,S,S,PRJEB39569,SAMEA7280620
ERR4553881,,S,R,S,S,PRJEB39569,SAMEA7280623
ERR4553901,,R,R,S,S,PRJEB39569,SAMEA7280643
ERR4553916,R,S,R,R,S,PRJEB39569,SAMEA7280658
ERR4553918,R,R,R,S,S,PRJEB39569,SAMEA7280660
ERR4553920,R,R,R,S,S,PRJEB39569,SAMEA7280662
ERR4553929,R,S,R,S,S,PRJEB39569,SAMEA7280672
ERR4553934,R,S,R,S,S,PRJEB39569,SAMEA7280677
ERR4553943,R,S,R,S,S,PRJEB39569,SAMEA7280686
ERR4553944,R,R,R,R,S,PRJEB39569,SAMEA7280687
ERR4553947,R,R,R,S,S,PRJEB39569,SAMEA7280690
ERR4553949,R,R,R,S,S,PRJEB39569,SAMEA7280692
ERR4553957,R,S,S,S,S,PRJEB39569,SAMEA7280700
ERR4553958,R,S,R,S,S,PRJEB39569,SAMEA7280701
ERR4553960,R,S,R,S,S,PRJEB39569,SAMEA7280703
ERR4553963,R,S,R,S,S,PRJEB39569,SAMEA7280706
ERR4553412,,S,S,S,S,PRJEB39569,SAMEA7280154
ERR4553413,,S,R,R,S,PRJEB39569,SAMEA7280155
ERR4553414,,S,R,S,S,PRJEB39569,SAMEA7280156
ERR4553415,,R,R,S,S,PRJEB39569,SAMEA7280157
ERR4553416,,S,R,R,S,PRJEB39569,SAMEA7280158
ERR4553417,,R,S,R,S,PRJEB39569,SAMEA7280159
ERR4553426,,S,R,S,S,PRJEB39569,SAMEA7280168
ERR4553428,,S,R,S,S,PRJEB39569,SAMEA7280170
ERR4553430,,S,R,S,S,PRJEB39569,SAMEA7280172
ERR4553431,S,S,S,S,S,PRJEB39569,SAMEA7280173
ERR4553432,,S,S,R,S,PRJEB39569,SAMEA7280174
ERR4553441,,R,R,S,S,PRJEB39569,SAMEA7280183
ERR4553443,,R,R,R,S,PRJEB39569,SAMEA7280185
ERR4553445,,S,R,S,S,PRJEB39569,SAMEA7280187
ERR4553455,,R,R,S,S,PRJEB39569,SAMEA7280197
ERR4553456,,R,R,S,S,PRJEB39569,SAMEA7280198
ERR4553457,,R,R,S,S,PRJEB39569,SAMEA7280199
ERR4553458,,S,R,S,S,PRJEB39569,SAMEA7280200
ERR4553460,,S,R,S,S,PRJEB39569,SAMEA7280202
ERR4553468,,S,R,S,S,PRJEB39569,SAMEA7280210
ERR4553469,,S,R,S,S,PRJEB39569,SAMEA7280211
ERR4553470,,S,R,S,S,PRJEB39569,SAMEA7280212
ERR4553471,,S,R,S,S,PRJEB39569,SAMEA7280213
ERR4553472,,S,R,S,S,PRJEB39569,SAMEA7280214
ERR4553473,,R,R,S,S,PRJEB39569,SAMEA7280215
ERR4553474,,S,S,S,S,PRJEB39569,SAMEA7280216
ERR4553482,,S,R,S,S,PRJEB39569,SAMEA7280224
ERR4553483,,R,R,S,S,PRJEB39569,SAMEA7280225
ERR4553484,,S,S,S,S,PRJEB39569,SAMEA7280226
ERR4553485,,R,R,S,S,PRJEB39569,SAMEA7280227
ERR4553486,,S,R,S,S,PRJEB39569,SAMEA7280228
ERR4553487,R,S,R,S,S,PRJEB39569,SAMEA7280229
ERR4553488,,S,R,S,S,PRJEB39569,SAMEA7280230
ERR4553496,,S,R,S,S,PRJEB39569,SAMEA7280238
ERR4553497,,S,S,S,S,PRJEB39569,SAMEA7280239
ERR4553499,R,S,R,S,S,PRJEB39569,SAMEA7280241
ERR4553500,R,S,R,S,S,PRJEB39569,SAMEA7280242
ERR4553501,,R,S,R,S,PRJEB39569,SAMEA7280243
ERR4553502,,S,S,R,S,PRJEB39569,SAMEA7280244
ERR4553511,,R,S,S,S,PRJEB39569,SAMEA7280253
ERR4553512,,S,R,R,S,PRJEB39569,SAMEA7280254
ERR4553513,,R,S,S,S,PRJEB39569,SAMEA7280255
ERR4553514,,R,R,S,S,PRJEB39569,SAMEA7280256
ERR4553515,,S,S,S,S,PRJEB39569,SAMEA7280257
ERR4553516,,S,R,S,S,PRJEB39569,SAMEA7280258
ERR4553517,,S,R,S,S,PRJEB39569,SAMEA7280259
ERR4553525,,R,R,S,S,PRJEB39569,SAMEA7280267
ERR4553526,,S,S,S,S,PRJEB39569,SAMEA7280268
ERR4553527,,R,R,S,S,PRJEB39569,SAMEA7280269
ERR4553528,R,S,S,R,S,PRJEB39569,SAMEA7280270
ERR4553529,,S,S,S,S,PRJEB39569,SAMEA7280271
ERR4553530,,S,R,S,S,PRJEB39569,SAMEA7280272
ERR4553539,,S,R,S,S,PRJEB39569,SAMEA7280281
ERR4553540,,R,R,S,S,PRJEB39569,SAMEA7280282
ERR4553541,,R,R,S,S,PRJEB39569,SAMEA7280283
ERR4553542,,S,R,S,S,PRJEB39569,SAMEA7280284
ERR4553543,,S,R,S,S,PRJEB39569,SAMEA7280285
ERR4553544,,S,R,S,S,PRJEB39569,SAMEA7280286
ERR4553545,,R,R,S,S,PRJEB39569,SAMEA7280287
ERR4553553,,S,R,S,S,PRJEB39569,SAMEA7280295
ERR4553554,,S,S,S,S,PRJEB39569,SAMEA7280296
ERR4553555,R,S,R,R,S,PRJEB39569,SAMEA7280297
ERR4553556,,S,S,S,S,PRJEB39569,SAMEA7280298
ERR4553557,,S,S,S,S,PRJEB39569,SAMEA7280299
ERR4553558,,S,S,R,S,PRJEB39569,SAMEA7280300
ERR4553559,,R,S,S,S,PRJEB39569,SAMEA7280301
ERR4553571,,S,R,R,S,PRJEB39569,SAMEA7280313
ERR4553573,,R,R,S,S,PRJEB39569,SAMEA7280315
ERR4553574,,S,R,S,S,PRJEB39569,SAMEA7280316
ERR4553575,,S,S,S,S,PRJEB39569,SAMEA7280317
ERR4553587,,S,R,R,S,PRJEB39569,SAMEA7280329
ERR4553588,,S,R,S,S,PRJEB39569,SAMEA7280330
ERR4553589,,S,S,S,S,PRJEB39569,SAMEA7280331
ERR4553591,,S,S,S,S,PRJEB39569,SAMEA7280333
ERR4553592,,R,R,S,S,PRJEB39569,SAMEA7280334
ERR4553600,,S,R,R,S,PRJEB39569,SAMEA7280342
ERR4553601,,S,S,S,S,PRJEB39569,SAMEA7280343
ERR4553602,,R,S,S,S,PRJEB39569,SAMEA7280344
ERR4553603,,S,R,R,S,PRJEB39569,SAMEA7280345
ERR4553604,,R,R,S,S,PRJEB39569,SAMEA7280346
ERR4553605,,S,R,S,S,PRJEB39569,SAMEA7280347
ERR4553606,,R,R,S,S,PRJEB39569,SAMEA7280348
ERR4553615,,S,R,R,S,PRJEB39569,SAMEA7280357
ERR4553616,,S,R,S,S,PRJEB39569,SAMEA7280358
