run,amikacin,bioproject,biosample,ethambutol,ethionamide,isoniazid,kanamycin,ofloxacin,pyrazinamide,rifampicin,streptomycin
SRR12395441,,PRJNA650381,SAMN15703131,S,,S,,,S,S,
SRR12395440,,PRJNA650381,SAMN15703132,S,S,S,,,S,S,
SRR12395439,,PRJNA650381,SAMN15703133,S,,S,,,S,S,
SRR12395437,,PRJNA650381,SAMN15703135,S,,S,,,S,S,
SRR12395436,,PRJNA650381,SAMN15703136,,S,,,,,,
SRR12395433,S,PRJNA650381,SAMN15703138,S,R,R,S,S,S,S,S
SRR12395432,,PRJNA650381,SAMN15703139,,S,,,,,,
SRR12395430,,PRJNA650381,SAMN15703141,S,,S,,,S,S,
SRR12395429,,PRJNA650381,SAMN15703142,S,,S,,,S,S,
SRR12395428,S,PRJNA650381,SAMN15703143,S,S,R,S,S,S,S,S
SRR12395427,,PRJNA650381,SAMN15703144,S,,S,,,S,S,
SRR12395426,S,PRJNA650381,SAMN15703145,S,S,R,S,S,S,S,S
SRR12395130,S,PRJNA650381,SAMN15703146,S,S,S,S,R,S,S,S
SRR12395425,,PRJNA650381,SAMN15703147,,,,,,S,,
SRR12395131,,PRJNA650381,SAMN15703152,,,,,,S,,
SRR12395419,,PRJNA650381,SAMN15703154,S,,S,,,S,S,
SRR12395418,,PRJNA650381,SAMN15703155,S,,S,,,S,S,
SRR12395417,,PRJNA650381,SAMN15703156,S,,S,,,S,S,
SRR12395416,,PRJNA650381,SAMN15703157,S,S,R,,,S,S,
SRR12395415,R,PRJNA650381,SAMN15703158,R,R,R,R,S,R,S,R
SRR12395414,,PRJNA650381,SAMN15703159,S,,S,,,S,S,
SRR12395412,,PRJNA650381,SAMN15703160,S,,S,,,S,S,
SRR12395411,,PRJNA650381,SAMN15703161,S,,S,,,S,S,
SRR12395410,,PRJNA650381,SAMN15703162,S,,S,,,S,S,
SRR12395409,,PRJNA650381,SAMN15703163,S,,S,,,S,S,
SRR12395407,,PRJNA650381,SAMN15703165,S,,S,,,S,S,
SRR12395406,,PRJNA650381,SAMN15703166,S,,S,,,S,S,
SRR12395405,,PRJNA650381,SAMN15703167,S,,S,,,S,S,
SRR12395403,,PRJNA650381,SAMN15703169,,,,,S,,,
SRR12395125,S,PRJNA650381,SAMN15703173,S,S,R,S,S,S,S,S
SRR12395123,,PRJNA650381,SAMN15703174,S,,S,,,S,S,
SRR12395122,,PRJNA650381,SAMN15703175,S,,S,,,S,S,
SRR12395121,,PRJNA650381,SAMN15703176,S,,S,,,S,S,
SRR12395119,,PRJNA650381,SAMN15703178,S,,S,,,S,S,
SRR12395118,,PRJNA650381,SAMN15703179,S,,S,,,S,S,
SRR12395117,,PRJNA650381,SAMN15703180,S,,S,,,S,S,
SRR12395116,,PRJNA650381,SAMN15703181,S,,S,,,S,S,
SRR12395115,,PRJNA650381,SAMN15703182,S,,S,,,S,S,
SRR12395114,,PRJNA650381,SAMN15703183,S,,S,,,S,S,
SRR12395400,,PRJNA650381,SAMN15703185,,,S,,,,,
SRR12395112,,PRJNA650381,SAMN15703187,S,,S,,,S,S,
SRR12395398,S,PRJNA650381,SAMN15703189,S,S,S,S,S,S,S,R
SRR12395110,,PRJNA650381,SAMN15703190,S,,S,,,S,S,
SRR12395109,,PRJNA650381,SAMN15703191,S,,S,,,S,S,
SRR12395107,S,PRJNA650381,SAMN15703193,R,S,R,R,S,S,R,S
SRR12395106,S,PRJNA650381,SAMN15703194,S,S,R,S,S,R,S,R
SRR12395397,,PRJNA650381,SAMN15703195,S,,S,,,S,S,
SRR12395396,S,PRJNA650381,SAMN15703196,S,R,R,S,S,S,S,S
SRR12395393,,PRJNA650381,SAMN15703199,S,,S,,,S,S,
SRR12395392,S,PRJNA650381,SAMN15703200,S,S,R,S,S,S,S,R
SRR12395390,,PRJNA650381,SAMN15703201,S,,S,,,S,S,
SRR12395389,,PRJNA650381,SAMN15703202,S,,S,,,S,S,
SRR12395388,,PRJNA650381,SAMN15703203,S,,S,,,S,S,
SRR12395387,,PRJNA650381,SAMN15703204,S,,S,,,S,S,
SRR12395386,,PRJNA650381,SAMN15703205,S,,S,,,S,S,
SRR12395385,,PRJNA650381,SAMN15703206,S,,S,,,S,S,
SRR12395384,S,PRJNA650381,SAMN15703207,S,S,S,S,S,S,S,S
SRR12395383,,PRJNA650381,SAMN15703208,S,,S,,,R,S,
SRR12395379,,PRJNA650381,SAMN15703211,S,,S,,,S,S,
SRR12395378,,PRJNA650381,SAMN15703212,S,,S,,,S,S,
SRR12395377,,PRJNA650381,SAMN15703213,S,,S,,,S,S,
SRR12395376,,PRJNA650381,SAMN15703214,,S,,,,,,
SRR12395375,,PRJNA650381,SAMN15703215,S,,S,,,S,S,
SRR12395373,,PRJNA650381,SAMN15703217,S,,S,,,S,S,
SRR12395372,,PRJNA650381,SAMN15703218,,S,,,,,,
SRR12395370,S,PRJNA650381,SAMN15703220,S,S,R,S,R,S,S,S
SRR12395366,,PRJNA650381,SAMN15703222,,,S,,,,,
SRR12395365,,PRJNA650381,SAMN15703223,S,,S,,,S,S,
SRR12395364,S,PRJNA650381,SAMN15703224,S,R,R,S,S,S,S,S
SRR12395363,,PRJNA650381,SAMN15703225,S,,S,,,S,S,
SRR12395362,,PRJNA650381,SAMN15703226,S,,S,,,S,S,
SRR12395361,S,PRJNA650381,SAMN15703227,S,S,R,S,S,S,S,S
SRR12395360,,PRJNA650381,SAMN15703228,S,,S,,,S,S,
SRR12395359,S,PRJNA650381,SAMN15703229,S,S,R,S,S,S,S,R
