run,streptomycin,isoniazid,rifampicin,ethambutol,para-aminosalicylic_acid,thioacetazone,moxifloxacin,ofloxacin,amikacin,kanamycin,capreomycin,pyrazinamide,ethionamide,biosample,bioproject
ERR9030448,S,S,S,S,,,,,,,,,,SAMEA13188695,PRJEB49093
ERR9030428,S,S,S,S,,,,,,,,,,SAMEA13188704,PRJEB49093
ERR9030507,S,S,S,S,,,,,,,,,,SAMEA13188690,PRJEB49093
ERR9030419,S,S,S,S,,,,,,,,,,SAMEA13188718,PRJEB49093
ERR9030508,S,S,R,S,S,R,,S,S,S,S,,,SAMEA13188674,PRJEB49093
ERR9030319,S,S,S,S,S,R,,,,,,,,SAMEA13188713,PRJEB49093
ERR9030258,S,S,S,S,,,,,,,,,,SAMEA13188689,PRJEB49093
ERR9030366,S,S,S,S,,,,,,,,,,SAMEA13188698,PRJEB49093
ERR9030364,S,S,S,S,S,R,,,,,,,,SAMEA13188701,PRJEB49093
ERR9030252,S,S,S,S,,,,,,,,,,SAMEA13188661,PRJEB49093
ERR9030438,S,S,S,S,,,,,,,,,,SAMEA13188720,PRJEB49093
ERR9030421,S,S,S,S,,,,,,,,,,SAMEA13188738,PRJEB49093
ERR9030333,S,S,S,S,,,,,,,,,,SAMEA13188709,PRJEB49093
ERR9030315,S,S,S,S,,,,,,,,,,SAMEA13188700,PRJEB49093
ERR9030481,S,S,S,S,,,,,,,,,,SAMEA13188735,PRJEB49093
ERR9030439,S,S,S,S,S,R,,,,,,,,SAMEA13188742,PRJEB49093
ERR9030425,S,S,S,S,,,,,,,,,,SAMEA13188677,PRJEB49093
ERR9030434,S,S,S,S,S,R,,,,,,,,SAMEA13188732,PRJEB49093
ERR9030536,S,S,S,S,,,,,,,,,,SAMEA13188743,PRJEB49093
ERR9030512,S,S,S,S,,,,,,,,,,SAMEA13188686,PRJEB49093
ERR9030341,S,S,S,S,,,,,,,,,,SAMEA13188708,PRJEB49093
ERR9030435,S,S,S,S,,,,,,,,,,SAMEA13188748,PRJEB49093
ERR9030542,S,S,S,S,,,,,,,,,,SAMEA13188694,PRJEB49093
ERR9030299,S,R,R,S,,,,S,S,S,S,,,SAMEA13188666,PRJEB49093
ERR9030325,S,R,R,S,R,R,,S,S,S,S,,,SAMEA13188717,PRJEB49093
ERR9030329,S,R,R,R,S,R,,S,S,S,S,,,SAMEA13188663,PRJEB49093
ERR9030537,S,R,R,R,S,R,,,,,,,,SAMEA13188675,PRJEB49093
ERR9030379,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188703,PRJEB49093
ERR9030349,S,R,R,S,,,,S,S,S,S,,,SAMEA13188691,PRJEB49093
ERR9030514,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188664,PRJEB49093
ERR9030466,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188747,PRJEB49093
