PRJNA353873,SAMN06221296,SRR5181974
PRJNA650381,SAMN15703285,SRR12395212
PRJNA353873,SAMN06221282,SRR5181984
PRJNA650381,SAMN15703068,SRR12395137
PRJNA438921,SAMN09090444,SRR7131257
PRJNA353873,SAMN06221022,SRR5182164
PRJNA717333,SAMN18498624,SRR14088388
PRJNA717333,SAMN18498619,SRR14088393
PRJNA557083,SAMN12389223,SRR9851499
PRJNA557083,SAMN12389223,SRR9853231
PRJNA650381,SAMN15703034,SRR12395224
PRJNA353873,SAMN06221506,SRR5181838
PRJNA824124,SAMN31672581,SRR22248469
PRJNA663350,SAMN16130556,SRR12708418
PRJNA353873,SAMN06221350,SRR5181952
PRJNA353873,SAMN06221451,SRR5181892
PRJNA438921,SAMN09090602,SRR7131074
PRJNA650381,SAMN15702984,SRR12395323
PRJNA353873,SAMN06221356,SRR5181949
PRJNA557083,SAMN12389256,SRR9851433
PRJNA557083,SAMN12389256,SRR9853165
PRJNA353873,SAMN06221452,SRR5181891
PRJNA353873,SAMN06221251,SRR5182006
PRJNA650381,SAMN15703167,SRR12395405
PRJNA663350,SAMN16130554,SRR12708370
PRJNA353873,SAMN06221057,SRR5182140
PRJNA353873,SAMN06221466,SRR5181877
PRJNA650381,SAMN15703070,SRR12395134
PRJNA353873,SAMN06221186,SRR5182061
PRJNA824124,SAMN31672566,SRR22248486
PRJNA353873,SAMN06221156,SRR5182083
PRJNA438921,SAMN09090422,SRR7131117
PRJNA557083,SAMN12389267,SRR9851520
PRJNA557083,SAMN12389267,SRR9853259
PRJNA438921,SAMN09090491,SRR7131061
PRJNA650381,SAMN15703256,SRR12395284
PRJNA353873,SAMN06221511,SRR5181834
PRJNA650381,SAMN15703217,SRR12395373
PRJNA650381,SAMN15702979,SRR12395102
PRJNA557083,SAMN12389172,SRR9851577
PRJNA557083,SAMN12389172,SRR9853207
PRJNA650381,SAMN15703344,SRR12395146
PRJNA353873,SAMN06221285,SRR5181980
PRJNA353873,SAMN06221317,SRR5181967
PRJNA663350,SAMN16130537,SRR12708379
PRJNA353873,SAMN06221260,SRR5181998
PRJNA650381,SAMN15702949,SRR12395320
PRJNA650381,SAMN15703316,SRR12395178
PRJNA353873,SAMN06221443,SRR5181900
PRJNA353873,SAMN06221226,SRR5182025
PRJNA353873,SAMN06221029,SRR5182158
PRJNA663350,SAMN16130570,SRR12708402
PRJNA650381,SAMN15703213,SRR12395377
PRJNA438921,SAMN09090494,SRR7131064
PRJNA353873,SAMN06221236,SRR5182018
