accession,S,H,R,E,Z,Am,Km,Cm,Cs,Cfx,Ofx,PAS,Rbt,Mfx,Line,Eto
ERS2211827,r,r,r,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211828,r,r,r,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211829,r,r,s,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211830,r,r,r,nd,nd,s,nd,s,s,nd,nd,s,nd,s,nd,nd
ERS2211831,r,r,r,nd,nd,s,nd,s,s,nd,nd,r,nd,s,nd,nd
ERS2211832,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211833,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211834,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211835,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211836,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211837,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211838,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211839,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211840,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211841,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211842,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211440,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211843,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211844,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211845,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211846,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211847,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159349,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159661,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159721,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159393,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159083,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159044,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159760,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1181093,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159521,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159700,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1158874,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159738,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159108,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1158898,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1181155,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159121,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1181074,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159076,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1158923,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1158907,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159293,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1158950,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159262,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159294,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1180924,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1158943,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159034,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1158990,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159003,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159861,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1159122,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163025,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163050,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163202,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163121,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1162947,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163126,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163135,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163101,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1162952,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163198,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163021,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163079,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163002,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163114,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163080,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163139,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1162953,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163211,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163103,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1162966,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163145,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163023,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163369,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163104,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163172,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163177,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163081,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1162980,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1163178,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
SRR1162977,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
