accession,S,H,R,E,Z,Am,Km,Cm,Cs,Cfx,Ofx,PAS,Rbt,Mfx,Line,Eto
ERS2211557,r,r,r,r,s,nd,nd,r,nd,nd,s,nd,nd,nd,nd,nd
ERS458017,r,r,r,s,s,nd,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS2211558,r,r,r,r,r,nd,nd,r,nd,nd,r,nd,nd,nd,nd,nd
ERS2211559,nd,r,r,nd,r,nd,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERS457721,r,r,r,s,s,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS2211560,r,r,s,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457094,r,r,r,r,s,s,nd,s,s,nd,s,s,r,nd,s,s
ERS2211561,r,r,r,r,r,nd,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERS2211562,r,r,r,s,s,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS2211563,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211564,r,r,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457320,r,r,r,b,s,s,nd,s,s,nd,s,s,nd,nd,s,s
ERS457378,r,r,r,r,s,nd,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERS2211565,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211566,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211567,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211422,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211568,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS2211569,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211570,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211571,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211572,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457235,r,r,r,s,s,nd,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS2211573,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211423,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211574,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS456827,r,r,r,r,r,s,nd,s,s,nd,s,s,nd,nd,nd,s
ERS2211575,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211576,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457727,r,r,r,r,r,r,nd,r,s,nd,s,s,nd,nd,s,s
ERS2211577,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS456861,r,r,r,r,r,s,nd,s,s,nd,s,s,nd,nd,nd,s
ERS2211578,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211579,r,r,r,s,s,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS458044,r,r,r,r,r,r,nd,r,s,nd,r,r,r,r,s,r
ERS2211580,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211581,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211582,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211583,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211584,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS458519,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS2211585,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211586,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457354,s,r,r,r,r,nd,s,s,nd,s,s,r,nd,nd,s,s
ERS2211587,r,r,r,r,r,nd,nd,nd,nd,nd,s,nd,nd,nd,nd,r
ERS2211588,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211589,r,r,r,s,s,s,nd,s,s,nd,s,s,r,nd,s,s
ERS456892,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,s,s,s
ERS2211590,r,r,r,s,s,s,nd,s,s,nd,s,s,nd,nd,s,r
ERS2211591,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458207,r,r,r,s,r,s,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS2211592,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS2211593,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211594,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458060,r,r,r,r,r,r,nd,r,s,nd,s,s,r,nd,s,r
ERS458023,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,s,s,s
ERS2211595,r,r,r,r,r,r,nd,r,s,nd,s,s,r,nd,s,r
ERS2211596,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211597,r,r,r,r,r,s,nd,s,s,nd,s,s,r,nd,s,r
ERS2211598,r,r,r,s,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211599,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211600,r,r,s,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211601,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211602,r,r,s,s,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211603,r,r,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211604,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457464,r,r,r,r,r,s,nd,s,s,nd,s,s,r,s,s,nd
ERS458127,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,nd,r
ERS457072,r,r,r,r,s,s,nd,s,s,nd,s,s,nd,nd,nd,r
ERS456908,r,r,r,r,s,s,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS457447,r,r,r,r,r,s,nd,s,s,nd,s,s,nd,nd,nd,s
ERS2211605,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211606,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457052,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS2211607,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457352,s,r,s,r,r,nd,s,s,nd,r,s,r,nd,nd,s,r
ERS2211608,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211609,r,r,r,r,r,s,nd,s,s,nd,s,s,r,nd,s,s
ERS458638,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457425,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211610,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211611,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS456953,r,r,r,s,s,s,nd,s,s,nd,s,r,nd,nd,nd,s
ERS2211612,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458625,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,nd,s,r
ERS2211613,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211614,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457897,nd,r,r,nd,nd,s,nd,s,s,nd,r,s,nd,r,s,s
ERS2211615,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457887,r,r,r,s,s,s,nd,s,s,nd,s,s,nd,nd,s,r
ERS2211616,r,r,r,r,r,s,nd,s,s,nd,s,s,r,nd,s,s
ERS456810,r,r,r,r,r,nd,nd,s,s,nd,s,nd,nd,nd,s,r
ERS2211617,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457746,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211618,r,r,r,s,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211619,r,r,r,b,r,s,nd,s,s,nd,s,s,r,nd,s,b
ERS2211620,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457655,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211621,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211622,r,r,s,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457233,r,r,r,r,r,nd,nd,s,s,nd,r,nd,nd,nd,s,s
ERS2211623,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458058,r,r,r,r,r,nd,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERS2211624,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457013,r,r,r,r,r,s,nd,s,s,nd,s,s,r,nd,s,s
ERS456822,r,r,r,r,r,r,nd,r,s,nd,s,nd,nd,nd,s,r
ERS2211625,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211626,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS456821,r,r,r,s,s,nd,nd,s,s,nd,s,nd,nd,nd,nd,s
ERS2211627,r,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457347,r,r,r,s,s,s,nd,s,r,nd,s,r,nd,nd,nd,r
ERS2211628,r,r,r,s,s,s,nd,r,s,nd,s,r,r,nd,s,s
ERS2211629,r,r,r,r,s,r,nd,s,s,nd,s,nd,nd,nd,s,s
ERS457568,r,r,r,s,s,nd,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERS2211630,r,r,r,r,s,r,nd,r,s,nd,s,nd,nd,nd,s,s
ERS2211631,r,r,r,r,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS457985,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,s,s
ERS458305,r,r,r,r,r,b,nd,s,s,nd,r,s,r,r,s,r
ERS457252,r,r,r,s,s,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211632,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS2211633,r,r,r,r,r,r,nd,r,s,nd,r,s,r,r,s,nd
