run,amikacin,bedaquiline,bioproject,biosample,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,gatifloxacin,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifabutin,rifampicin,streptomycin,thioacetazone
ERR037531,,,PRJEB2358,SAMEA897904,,,,,,,,,S,,,,,,,,,S,,
ERR037532,,,PRJEB2358,SAMEA897890,,,,,,,,,S,,,,,,,,,S,,
ERR037533,,,PRJEB2358,SAMEA897827,,,,,,,,,S,,,,,,,,,S,,
ERR037534,,,PRJEB2358,SAMEA897812,,,,,,,,,S,,,,,,,,,S,,
ERR037536,,,PRJEB2358,SAMEA897784,,,,,,,,,S,,,,,,,S,,S,,
ERR037538,,,PRJEB2358,SAMEA897814,,,,,,,,,S,,,,,,,,,S,,
ERR037539,,,PRJEB2358,SAMEA897767,,,,,,,,,S,,,,,,,,,S,,
ERR037540,,,PRJEB2358,SAMEA897766,,,,,,,,,S,,,,,,,,,S,,
ERR037541,,,PRJEB2358,SAMEA897787,,,,,,,,,S,,,,,,,,,S,,
ERR037542,,,PRJEB2358,SAMEA897788,,,,,,,,,S,,,,,,,,,S,,
ERR037543,,,PRJEB2358,SAMEA897785,,,,,,,,,S,,,,,,,,,S,,
ERR037544,,,PRJEB2358,SAMEA897786,,,,,,,,,S,,,,,,,,,S,,
ERR037545,,,PRJEB2358,SAMEA897781,,,,,,,,,S,,,,,,,,,S,,
ERR037546,,,PRJEB2358,SAMEA897866,,,,,,,,,S,,,,,,,,,S,,
ERR037547,,,PRJEB2358,SAMEA897855,,,,,,,,,S,,,,,,,,,S,,
ERR037549,,,PRJEB2358,SAMEA897789,,,,,,,,,S,,,,,,,,,S,,
ERR037550,,,PRJEB2358,SAMEA897790,,,,,,,,,S,,,,,,,,,S,,
ERR037551,,,PRJEB2358,SAMEA897871,,,,,,,,,S,,,,,,,,,S,,
ERR037553,,,PRJEB2358,SAMEA897869,,,,,,,,,S,,,,,,,,,S,,
ERR037554,,,PRJEB2358,SAMEA897868,,,,,,,,,S,,,,,,,,,S,,
ERR037555,,,PRJEB2358,SAMEA897867,,,,,,,,,S,,,,,,,,,S,,
ERR038254,S,,PRJEB2221,SAMEA961668,S,S,,,,S,,,S,,,,,,,S,,S,S,
ERR038255,,,PRJEB2221,SAMEA961669,,,,,,S,,,S,,,,,,,S,,S,S,
ERR038256,,,PRJEB2221,SAMEA961675,,,,,,S,,,S,,,,,,,S,,S,,
ERR038257,,,PRJEB2221,SAMEA961674,,,,,,S,,,S,,,,,,,S,,S,,
ERR038258,,,PRJEB2221,SAMEA961677,,,,,,S,,,S,,,,,,,S,,S,,
ERR038259,,,PRJEB2221,SAMEA961676,,,,,,S,,,S,,,,,,,S,,S,,
ERR038260,,,PRJEB2221,SAMEA961671,,,,,,S,,,S,,,,,,,S,,S,,
ERR038261,,,PRJEB2221,SAMEA961670,,,,,,S,,,S,,,,,,,S,,S,,
ERR038262,,,PRJEB2221,SAMEA961673,,,,,,S,,,S,,,,,S,S,S,,S,R,
ERR038263,,,PRJEB2221,SAMEA961672,,,,,,S,,,S,,,,,,,S,,S,,
ERR038264,,,PRJEB2221,SAMEA961679,,,,,,S,,,S,,,,,,,S,,S,,
ERR038265,,,PRJEB2221,SAMEA961678,,,,,,S,,,S,,,,,,,S,,S,,
ERR038266,S,,PRJEB2221,SAMEA961575,,S,,,,S,,,S,,,,,,,S,,S,S,
ERR038269,,,PRJEB2221,SAMEA961574,,,,,,S,,,S,,,,,,,S,,S,,
ERR038270,,,PRJEB2221,SAMEA961571,,,,,,S,,,S,,,,,,,S,,S,,
ERR038271,,,PRJEB2221,SAMEA961572,,,,,,S,,,S,,,,,,,S,,S,,
ERR038272,,,PRJEB2221,SAMEA961569,,,,,,S,,,S,,,,,,,S,,S,,
ERR038273,,,PRJEB2221,SAMEA961570,,,,,,S,,,S,,,,,,,S,,S,S,
ERR038274,,,PRJEB2221,SAMEA961577,,,,,,S,,,S,,,,,,,S,,S,S,
ERR038275,,,PRJEB2221,SAMEA961578,,,,,,S,,,S,,,,,,,S,,S,,
ERR038276,,,PRJEB2221,SAMEA961594,,,,,,S,,,S,,,,,,,S,,S,,
ERR038277,,,PRJEB2221,SAMEA961593,,,,,,S,,,S,,,,,,,S,,S,,
ERR038278,,,PRJEB2221,SAMEA961592,,,,,,S,,,S,,,,,,,S,,S,,
ERR038279,,,PRJEB2221,SAMEA961591,,,,,,S,,,S,,,,,,,S,,S,,
ERR038280,,,PRJEB2221,SAMEA961598,,,,,,S,,,S,,,,,,,S,,S,,
ERR038281,,,PRJEB2221,SAMEA961597,,,,,,S,,,S,,,,,,,S,,S,,
ERR038282,,,PRJEB2221,SAMEA961596,,,,,,S,,,S,,,,,,,S,,S,,
ERR038283,,,PRJEB2221,SAMEA961595,,,,,,S,,,S,,,,,,,S,,S,,
ERR038284,,,PRJEB2221,SAMEA961590,,,,,,S,,,S,,,,,,,S,,S,,
ERR038285,,,PRJEB2221,SAMEA961589,,,,,,S,,,S,,,,,,,S,,S,,
ERR038286,,,PRJEB2221,SAMEA961617,,,,,,S,,,S,,,,,,,S,,S,,
ERR038287,,,PRJEB2221,SAMEA961618,,,,,,S,,,S,,,,,,,S,,S,,
ERR038288,,,PRJEB2221,SAMEA961619,,,,,,S,,,S,,,,,,,S,,S,,
ERR038290,,,PRJEB2221,SAMEA961613,,,,,,S,,,S,,,,,,,S,,S,,
ERR038291,,,PRJEB2221,SAMEA961614,,,,,,S,,,S,,,,,,,S,,S,,
ERR038292,,,PRJEB2221,SAMEA961615,,,,,,S,,,S,,,,,,,S,,S,,
ERR038293,,,PRJEB2221,SAMEA961616,,,,,,S,,,S,,,,,,,S,,S,,
ERR038294,S,,PRJEB2221,SAMEA961611,S,,,,,S,,,S,,R,,S,R,,S,,S,S,
ERR038295,,,PRJEB2221,SAMEA961612,,,,,,S,,,S,,,,,,,S,,S,,
ERR038296,,,PRJEB2221,SAMEA961623,,,,,,S,,,S,,,,,,,S,,S,,
ERR038298,,,PRJEB2221,SAMEA961625,,,,,,S,,,S,,,,,,,S,,S,,
ERR038299,,,PRJEB2221,SAMEA961624,,,,,,S,,,S,,,,,,,S,,S,,
ERR038300,,,PRJEB2221,SAMEA961627,,S,,,,S,,,S,,,,,,,S,,S,,
ERR038736,,,PRJEB2424,SAMEA787739,S,,,,,,S,,,S,,,,S,,S,,,S,
ERR038737,,,PRJEB2424,SAMEA787740,S,,,,,S,S,,S,S,,,,S,,S,,S,S,
ERR038739,,,PRJEB2424,SAMEA787754,,,,,,R,,,R,,,,,S,,R,,R,R,
ERR038740,,,PRJEB2424,SAMEA787708,,,,,,R,,,R,,,,,S,,R,,R,S,
ERR038741,,,PRJEB2424,SAMEA787707,S,,,,,R,S,,R,S,,,,R,,R,,R,S,
